t_s,i_A,v_bank_V
-2.8537500e-03,-3.0912,49.771
-2.8512500e-03,2.3440,49.799
-2.8487500e-03,1.8864,49.810
-2.8462500e-03,-1.9392,49.803
-2.8437500e-03,-1.3888,49.785
-2.8412500e-03,13.2352,49.820
-2.8387500e-03,-2.5104,49.794
-2.8362500e-03,-7.8112,49.775
-2.8337500e-03,6.0848,49.801
-2.8312500e-03,5.2128,49.824
-2.8287500e-03,-3.7200,49.789
-2.8262500e-03,-1.3904,49.794
-2.8237500e-03,3.5296,49.801
-2.8212500e-03,2.4272,49.817
-2.8187500e-03,-1.0560,49.788
-2.8162500e-03,5.7392,49.836
-2.8137500e-03,-6.5600,49.793
-2.8112500e-03,0.6368,49.789
-2.8087500e-03,6.9552,49.828
-2.8062500e-03,-0.1984,49.818
-2.8037500e-03,-4.5328,49.783
-2.8012500e-03,3.6784,49.811
-2.7987500e-03,2.2688,49.796
-2.7962500e-03,-1.2272,49.780
-2.7937500e-03,-0.6336,49.802
-2.7912500e-03,5.8560,49.818
-2.7887500e-03,-6.9424,49.772
-2.7862500e-03,6.5040,49.809
-2.7837500e-03,2.3728,49.820
-2.7812500e-03,-0.6448,49.785
-2.7787500e-03,0.3152,49.792
-2.7762500e-03,-0.0384,49.788
-2.7737500e-03,-0.8272,49.801
-2.7712500e-03,1.9968,49.795
-2.7687500e-03,0.7504,49.801
-2.7662500e-03,-1.2496,49.803
-2.7637500e-03,-1.2832,49.789
-2.7612500e-03,11.0144,49.813
-2.7587500e-03,1.0800,49.805
-2.7562500e-03,-4.3408,49.790
-2.7537500e-03,2.4704,49.814
-2.7512500e-03,0.8288,49.810
-2.7487500e-03,0.1168,49.797
-2.7462500e-03,-0.8080,49.804
-2.7437500e-03,2.4032,49.812
-2.7412500e-03,-7.0448,49.781
-2.7387500e-03,9.0336,49.803
-2.7362500e-03,7.5984,49.823
-2.7337500e-03,-6.2192,49.784
-2.7312500e-03,-1.7456,49.782
-2.7287500e-03,7.6016,49.810
-2.7262500e-03,-2.9456,49.792
-2.7237500e-03,-0.8688,49.796
-2.7212500e-03,-0.0192,49.799
-2.7187500e-03,3.6768,49.818
-2.7162500e-03,-3.6272,49.785
-2.7137500e-03,7.1024,49.819
-2.7112500e-03,0.5696,49.811
-2.7087500e-03,-2.9808,49.803
-2.7062500e-03,0.6016,49.792
-2.7037500e-03,5.6576,49.827
-2.7012500e-03,-6.7584,49.810
-2.6987500e-03,3.3904,49.807
-2.6962500e-03,2.7008,49.797
-2.6937500e-03,-0.3104,49.810
-2.6912500e-03,-4.4976,49.795
-2.6887500e-03,14.8384,49.836
-2.6862500e-03,-5.5168,49.796
-2.6837500e-03,-4.5648,49.776
