t_s,i_A,v_bank_V
-2.6562500e-03,-7.0416,49.730
-2.6537500e-03,1.0224,49.732
-2.6512500e-03,1.8784,49.723
-2.6487500e-03,1.0384,49.727
-2.6462500e-03,-5.9568,49.718
-2.6437500e-03,5.7168,49.718
-2.6412500e-03,4.6816,49.743
-2.6387500e-03,-3.5440,49.727
-2.6362500e-03,-3.2592,49.722
-2.6337500e-03,4.8560,49.725
-2.6312500e-03,-3.2176,49.727
-2.6287500e-03,-0.8208,49.717
-2.6262500e-03,-0.0800,49.725
-2.6237500e-03,0.1776,49.714
-2.6212500e-03,-1.4256,49.700
-2.6187500e-03,8.8640,49.754
-2.6162500e-03,-3.6432,49.763
-2.6137500e-03,-5.1888,49.728
-2.6112500e-03,5.4592,49.732
-2.6087500e-03,2.6000,49.735
-2.6062500e-03,-5.2672,49.719
-2.6037500e-03,-1.4864,49.717
-2.6012500e-03,3.6592,49.723
-2.5987500e-03,-0.0640,49.721
-2.5962500e-03,-0.8032,49.718
-2.5937500e-03,0.8784,49.739
-2.5912500e-03,0.8816,49.726
-2.5887500e-03,-0.1552,49.715
-2.5862500e-03,0.5168,49.714
-2.5837500e-03,-2.0448,49.716
-2.5812500e-03,0.7360,49.710
-2.5787500e-03,-0.4816,49.729
-2.5762500e-03,0.0416,49.710
-2.5737500e-03,-2.3280,49.723
-2.5712500e-03,2.8272,49.720
-2.5687500e-03,0.7040,49.766
-2.5662500e-03,-3.3072,49.733
-2.5637500e-03,5.0608,49.754
-2.5612500e-03,2.2640,49.761
-2.5587500e-03,-2.8784,49.737
-2.5562500e-03,0.6272,49.724
-2.5537500e-03,-2.5680,49.718
-2.5512500e-03,0.1088,49.724
-2.5487500e-03,0.1520,49.743
-2.5462500e-03,0.8912,49.732
-2.5437500e-03,-3.8832,49.731
-2.5412500e-03,3.1808,49.717
-2.5387500e-03,5.1184,49.729
-2.5362500e-03,-1.8112,49.735
-2.5337500e-03,-3.6784,49.717
-2.5312500e-03,3.6192,49.743
-2.5287500e-03,-2.8128,49.693
-2.5262500e-03,-0.4704,49.711
-2.5237500e-03,-0.7712,49.714
-2.5212500e-03,0.5568,49.711
-2.5187500e-03,-4.1776,49.725
-2.5162500e-03,10.9392,49.756
-2.5137500e-03,0.6720,49.768
-2.5112500e-03,-8.1248,49.740
-2.5087500e-03,2.6080,49.724
-2.5062500e-03,6.0240,49.741
-2.5037500e-03,-5.4368,49.724
-2.5012500e-03,-2.6688,49.724
-2.4987500e-03,2.5680,49.711
-2.4962500e-03,2.1808,49.738
-2.4937500e-03,-2.8752,49.690
-2.4912500e-03,4.0864,49.731
-2.4887500e-03,-0.8928,49.737
-2.4862500e-03,-1.8560,49.724
-2.4837500e-03,1.3008,49.716
-2.4812500e-03,0.0240,49.734
-2.4787500e-03,-2.7552,49.711
-2.4762500e-03,0.7440,49.728
-2.4737500e-03,0.6752,49.724
-2.4712500e-03,-1.6192,49.723
-2.4687500e-03,0.6944,49.721
-2.4662500e-03,5.7936,49.763
-2.4637500e-03,-7.0096,49.739
-2.4612500e-03,2.2624,49.746
-2.4587500e-03,4.3312,49.754
-2.4562500e-03,-0.7744,49.737
-2.4537500e-03,-2.3984,49.714
-2.4512500e-03,-1.7792,49.724
-2.4487500e-03,0.6048,49.732
-2.4462500e-03,0.6320,49.713
-2.4437500e-03,0.4592,49.717
-2.4412500e-03,-1.6576,49.734
-2.4387500e-03,0.8800,49.711
-2.4362500e-03,3.5296,49.718
-2.4337500e-03,-0.7872,49.720
-2.4312500e-03,-2.8800,49.717
-2.4287500e-03,3.1056,49.726
-2.4262500e-03,-3.1456,49.723
-2.4237500e-03,-0.0880,49.717
-2.4212500e-03,-0.5168,49.716
-2.4187500e-03,0.9488,49.718
-2.4162500e-03,-4.9264,49.735
-2.4137500e-03,7.4400,49.747
-2.4112500e-03,4.6800,49.765
-2.4087500e-03,-6.0720,49.746
-2.4062500e-03,-1.5776,49.724
-2.4037500e-03,6.7536,49.724
-2.4012500e-03,-4.8624,49.738
-2.3987500e-03,-2.4640,49.732
-2.3962500e-03,0.8944,49.716
-2.3937500e-03,3.1584,49.734
-2.3912500e-03,-3.0400,49.721
-2.3887500e-03,2.8640,49.724
-2.3862500e-03,0.5632,49.724
-2.3837500e-03,-0.3712,49.713
-2.3812500e-03,-1.6688,49.695
-2.3787500e-03,1.7072,49.733
-2.3762500e-03,-4.9968,49.714
-2.3737500e-03,2.8576,49.724
-2.3712500e-03,0.4752,49.718
-2.3687500e-03,-1.6000,49.718
